DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO_Codes,Victim Age,Victim Sex,Victim_Descent,Premise Code,Premise Description,Address,Cross Street,Lat,Long,Latitude,Longitude
191516203,8/26/19,8/24/19,945,15,N Hollywood,1527,997,TRAFFIC COLLISION,Veh vs Bike,28,F,Hispanic/Latin/Mexican,101,STREET,ERWIN                        ST,LANKERSHIM                   BL,34.1849,-118.3746,34.1849,-118.3746
191516482,8/29/19,8/29/19,800,15,N Hollywood,1525,997,TRAFFIC COLLISION,Veh vs Bike,34,F,Hispanic/Latin/Mexican,101,STREET,RADFORD                      AV,VICTORY                      BL,34.1867,-118.3921,34.1867,-118.3921
191613357,8/31/19,8/31/19,25,16,Foothill,1612,997,TRAFFIC COLLISION,Veh vs Bike,27,M,Other,101,STREET,VAN NUYS                     BL,LEHIGH                       AV,34.2697,-118.4172,34.2697,-118.4172
192015152,8/11/19,8/11/19,1600,20,Olympic,2029,997,TRAFFIC COLLISION,Veh vs Bike,75,M,Korean,101,STREET,4TH,VERMONT,34.0674,-118.2916,34.0674,-118.2916
192015557,8/20/19,8/20/19,820,20,Olympic,2069,997,TRAFFIC COLLISION,Veh vs Bike,40,M,Hispanic/Latin/Mexican,101,STREET,MENLO                        AV,OLYMPIC                      BL,34.0524,-118.2907,34.0524,-118.2907
192114616,8/19/19,8/19/19,1820,21,Topanga,2157,997,TRAFFIC COLLISION,Veh vs Bike,27,M,Hispanic/Latin/Mexican,101,STREET,VANOWEN                      ST,MASON                        AV,34.1938,-118.5797,34.1938,-118.5797
190122070,8/31/19,8/30/19,705,1,Central,159,997,TRAFFIC COLLISION,Veh vs Bike,27,M,Hispanic/Latin/Mexican,101,STREET,7TH,ALAMEDA,34.0349,-118.2386,34.0349,-118.2386
191221690,9/1/19,9/1/19,420,12,77th Street,1245,997,TRAFFIC COLLISION,Veh vs Bike,77,M,Hispanic/Latin/Mexican,101,STREET,FLORENCE,VERMONT,33.9746,-118.2918,33.9746,-118.2918
190618279,9/1/19,9/1/19,1520,6,Hollywood,626,997,TRAFFIC COLLISION,Veh vs Bike,18,M,,101,STREET,HOLLYWOOD                    FY,CAHUENGA,34.1081,-118.3308,34.1081,-118.3308
191819032,9/4/19,9/3/19,2215,18,Southeast,1861,997,TRAFFIC COLLISION,Veh vs Bike,,M,Unknown,101,STREET,116TH                        PL,VERMONT,33.9274,-118.2871,33.9274,-118.2871
192100988,9/6/19,9/6/19,1845,21,Topanga,2146,997,TRAFFIC COLLISION,Veh vs Bike,27,M,Hispanic/Latin/Mexican,101,STREET,SHERMAN                      WY,ETON                         AV,34.201,-118.5955,34.201,-118.5955
191314778,7/10/19,7/10/19,1610,13,Newton,1313,997,TRAFFIC COLLISION,Veh vs Bike,22,M,Hispanic/Latin/Mexican,101,STREET,STANFORD                     AV,WASHINGTON                   BL,34.0277,-118.2555,34.0277,-118.2555
190814989,9/1/19,9/1/19,1148,8,West LA,842,997,TRAFFIC COLLISION,Veh vs Bike,49,F,Other,101,STREET,WESTGATE                     AV,TEXAS                        AV,34.0455,-118.4619,34.0455,-118.4619
191419554,9/5/19,9/3/19,1620,14,Pacific,1477,997,TRAFFIC COLLISION,Veh vs Bike,44,M,Black,101,STREET,MANCHESTER,TRUXTON,33.9599,-118.3935,33.9599,-118.3935
170124646,9/13/17,9/13/17,1530,1,Central,166,997,TRAFFIC COLLISION,Veh vs Bike,31,M,Hispanic/Latin/Mexican,101,STREET,6TH,SAN PEDRO,34.0423,-118.2452,34.0423,-118.2452
170216751,9/5/17,9/5/17,2017,2,Rampart,201,997,TRAFFIC COLLISION,Veh vs Bike,16,M,Black,101,STREET,HELIOTROPE                   DR,WILLOWBROOK                  AV,34.0873,-118.296,34.0873,-118.296
170323882,10/23/17,10/22/17,1815,3,Southwest,374,997,TRAFFIC COLLISION,Veh vs Bike,12,M,Black,101,STREET,MARTIN LUTHER KING JR        BL,3RD                          AV,34.0108,-118.3204,34.0108,-118.3204
170418540,11/21/17,11/21/17,1945,4,Hollenbeck,457,997,TRAFFIC COLLISION,Veh vs Bike,36,M,Hispanic/Latin/Mexican,101,STREET,MOTT                         ST,FOLSOM                       ST,34.0475,-118.2026,34.0475,-118.2026
171424839,11/20/17,11/20/17,1125,14,Pacific,1414,997,TRAFFIC COLLISION,Veh vs Bike,59,M,White,101,STREET,LINCOLN                      BL,INDIANA                      AV,33.9993,-118.4636,33.9993,-118.4636
180220159,9/30/18,9/30/18,1130,2,Rampart,216,997,TRAFFIC COLLISION,Veh vs Bike,35,M,White,101,STREET,SUNSET                       BL,ROSEMONT                     AV,34.0782,-118.2664,34.0782,-118.2664
180410799,6/7/18,6/7/18,1715,4,Hollenbeck,461,997,TRAFFIC COLLISION,Veh vs Bike,56,M,Hispanic/Latin/Mexican,101,STREET,4TH                          ST,CLARENCE,34.0427,-118.2237,34.0427,-118.2237
181009824,5/8/18,5/8/18,1600,10,West Valley,1032,997,TRAFFIC COLLISION,Veh vs Bike,71,M,Hispanic/Latin/Mexican,101,STREET,LULL                         ST,YOLANDA                      AV,34.2094,-118.5405,34.2094,-118.5405
181317965,8/24/18,8/24/18,1940,13,Newton,1345,997,TRAFFIC COLLISION,Veh vs Bike,13,M,Hispanic/Latin/Mexican,101,STREET,41ST                         ST,CENTRAL                      AV,34.0093,-118.2565,34.0093,-118.2565
190316242,7/8/19,7/7/19,2150,3,Southwest,397,997,TRAFFIC COLLISION,Veh vs Bike,28,M,Hispanic/Latin/Mexican,101,STREET,KING                         BL,HOOVER                       ST,34.0073,-118.298,34.0073,-118.298
190615136,7/8/19,7/8/19,1615,6,Hollywood,677,997,TRAFFIC COLLISION,Veh vs Bike,47,M,White,101,STREET,SANTA MONICA                 BL,GOWER                        ST,34.0908,-118.3223,34.0908,-118.3223
190812492,7/11/19,7/10/19,1400,8,West LA,853,997,TRAFFIC COLLISION,Veh vs Bike,46,M,White,101,STREET,OHIO                         AV,PURDUE                       AV,34.0473,-118.4519,34.0473,-118.4519
191516802,9/4/19,9/3/19,1835,15,N Hollywood,1551,997,TRAFFIC COLLISION,Veh vs Bike,34,F,Hispanic/Latin/Mexican,101,STREET,RIVERSIDE                    DR,WHITSETT                     AV,34.1576,-118.4052,34.1576,-118.4052
190916138,9/1/19,8/30/19,905,9,Van Nuys,904,997,TRAFFIC COLLISION,Veh vs Bike,34,F,Other,101,STREET,SATICOY                      ST,N  HONOR                        WY,34.2085,-118.4638,34.2085,-118.4638
191113249,7/8/19,7/8/19,1330,11,Northeast,1181,997,TRAFFIC COLLISION,Veh vs Bike,36,M,Hispanic/Latin/Mexican,101,STREET,SUNSET                       BL,SILVER LAKE,34.0827,-118.273,34.0827,-118.273
191113334,7/9/19,7/9/19,1909,11,Northeast,1162,997,TRAFFIC COLLISION,Veh vs Bike,50,M,Hispanic/Latin/Mexican,101,STREET,SUNSET                       BL,MANZANITA                    ST,34.0931,-118.2811,34.0931,-118.2811
191218077,7/11/19,7/11/19,2100,12,77th Street,1213,997,TRAFFIC COLLISION,Veh vs Bike,50,M,Black,101,STREET,WESTERN                      AV,57TH                         ST,33.991,-118.3089,33.991,-118.3089
191415125,6/30/19,6/29/19,1340,14,Pacific,1411,997,TRAFFIC COLLISION,Veh vs Bike,54,M,White,101,STREET,PACIFIC                      AV,30TH                         PL,33.9918,-118.4791,33.9918,-118.4791
191415166,6/29/19,6/29/19,940,14,Pacific,1436,997,TRAFFIC COLLISION,Veh vs Bike,71,M,White,101,STREET,VENICE,GLOBE,34.0119,-118.4189,34.0119,-118.4189
191513796,7/9/19,7/9/19,1155,15,N Hollywood,1503,997,TRAFFIC COLLISION,Veh vs Bike,34,M,Hispanic/Latin/Mexican,101,STREET,LAUREL CANYON                BL,RUNNYMEDE                    ST,34.2058,-118.3965,34.2058,-118.3965
191513700,7/8/19,7/5/19,1900,15,N Hollywood,1535,997,TRAFFIC COLLISION,Veh vs Bike,22,M,Hispanic/Latin/Mexican,101,STREET,EMELITA                      ST,LANKERSHIM                   BL,34.1767,-118.3817,34.1767,-118.3817
192013268,7/4/19,7/4/19,205,20,Olympic,2093,997,TRAFFIC COLLISION,Veh vs Bike,22,M,Hispanic/Latin/Mexican,101,STREET,WASHINGTON                   BL,NORMANDIE                    AV,34.04,-118.3003,34.04,-118.3003
190214729,7/13/19,7/13/19,1730,2,Rampart,217,997,TRAFFIC COLLISION,Veh vs Bike,28,M,White,101,STREET,GLENDALE                     BL,PARK                         AV,34.0781,-118.2605,34.0781,-118.2605
190713275,7/5/19,7/5/19,1530,7,Wilshire,773,997,TRAFFIC COLLISION,Veh vs Bike,68,F,White,101,STREET,WASHINGTON                   BL,DUNSMUIR                     AV,34.0405,-118.3576,34.0405,-118.3576
190316961,7/17/19,7/17/19,1715,3,Southwest,333,997,TRAFFIC COLLISION,Veh vs Bike,59,M,Black,101,STREET,VICTORIA,30TH,34.0276,-118.3363,34.0276,-118.3363
191315033,7/15/19,7/15/19,1600,13,Newton,1333,997,TRAFFIC COLLISION,Veh vs Bike,26,M,Black,101,STREET,SAN PEDRO                    ST,33RD                         ST,34.0163,-118.2647,34.0163,-118.2647
192013518,7/11/19,7/11/19,1705,20,Olympic,2042,997,TRAFFIC COLLISION,Veh vs Bike,40,F,Filipino,101,STREET,9TH                          ST,GRAMERCY                     DR,34.0559,-118.3122,34.0559,-118.3122
191419210,9/1/19,8/31/19,2220,14,Pacific,1476,997,TRAFFIC COLLISION,Veh vs Bike,61,M,White,101,STREET,KENTWOOD                     AV,W  83RD                         ST,33.9638,-118.4003,33.9638,-118.4003
191514186,7/11/19,7/11/19,920,15,N Hollywood,1543,997,TRAFFIC COLLISION,Veh vs Bike,30,M,Hispanic/Latin/Mexican,101,STREET,CHANDLER                     BL,LAUREL CANYON                BL,34.1687,-118.3965,34.1687,-118.3965
191419451,9/4/19,9/4/19,830,14,Pacific,1453,997,TRAFFIC COLLISION,Veh vs Bike,44,M,White,101,STREET,GLENCOE                      AV,BEACH                        AV,33.9873,-118.4403,33.9873,-118.4403
191113760,7/19/19,7/19/19,955,11,Northeast,1142,997,TRAFFIC COLLISION,Veh vs Bike,50,M,Black,101,STREET,HILLHURST                    AV,AMBROSE                      AV,34.11,-118.2874,34.11,-118.2874
191514270,7/6/19,7/6/19,2330,15,N Hollywood,1513,997,TRAFFIC COLLISION,Veh vs Bike,25,M,Hispanic/Latin/Mexican,101,STREET,WHITSETT                     AV,SHERMAN                      WY,34.2012,-118.4052,34.2012,-118.4052
191910425,5/14/19,5/14/19,2005,19,Mission,1906,997,TRAFFIC COLLISION,Veh vs Bike,63,M,Hispanic/Latin/Mexican,101,STREET,ELDRIDGE                     AV,POLK                         ST,34.3235,-118.4318,34.3235,-118.4318
190214859,7/16/19,7/11/19,1530,2,Rampart,212,997,TRAFFIC COLLISION,Veh vs Bike,25,M,Black,101,STREET,VERMONT,HOLLYWOOD                    FY,34.0804,-118.2917,34.0804,-118.2917
191818993,9/3/19,9/1/19,1930,18,Southeast,1826,997,TRAFFIC COLLISION,Veh vs Bike,64,F,Hispanic/Latin/Mexican,101,STREET,92ND                         ST,COMPTON,33.9534,-118.2475,33.9534,-118.2475
190812822,7/16/19,7/16/19,1752,8,West LA,855,997,TRAFFIC COLLISION,Veh vs Bike,27,F,White,101,STREET,1700    WESTWOOD                     BL,,34.0519,-118.4388,34.0519,-118.4388
190316880,7/15/19,7/15/19,1420,3,Southwest,379,997,TRAFFIC COLLISION,Veh vs Bike,31,M,Hispanic/Latin/Mexican,101,STREET,39TH                         ST,VERMONT                      AV,34.0155,-118.2915,34.0155,-118.2915
191611643,7/18/19,7/18/19,1705,16,Foothill,1653,997,TRAFFIC COLLISION,Veh vs Bike,42,M,White,101,STREET,SAN FERNANDO                 RD,OSBORNE                      ST,34.2542,-118.4095,34.2542,-118.4095
200807952,4/3/20,4/3/20,1005,8,West LA,859,997,TRAFFIC COLLISION,Veh vs Bike,53,M,Black,,,0,,34.0461,-118.3841,34.0461,-118.3841
190118524,7/16/19,7/16/19,937,1,Central,185,997,TRAFFIC COLLISION,Veh vs Bike,33,M,White,101,STREET,BROADWAY,OLYMPIC                      BL,34.0396,-118.259,34.0396,-118.259
190118638,7/17/19,7/17/19,1530,1,Central,166,997,TRAFFIC COLLISION,Veh vs Bike,37,M,Hispanic/Latin/Mexican,101,STREET,6TH,SAN JULIAN,34.0428,-118.2461,34.0428,-118.2461
190214871,7/15/19,7/15/19,1615,2,Rampart,291,997,TRAFFIC COLLISION,Veh vs Bike,26,F,Hispanic/Latin/Mexican,101,STREET,VENICE,MALVERN,34.0433,-118.2829,34.0433,-118.2829
201309197,4/9/20,4/3/20,630,13,Newton,1383,997,TRAFFIC COLLISION,Veh vs Bike,40,M,Hispanic/Latin/Mexican,101,STREET,SAN PEDRO                    ST,GAGE                         AV,33.9825,-118.2695,33.9825,-118.2695
190122207,9/2/19,9/2/19,2000,1,Central,111,997,TRAFFIC COLLISION,Veh vs Bike,52,M,Hispanic/Latin/Mexican,101,STREET,CESAR E CHAVEZ               AV,HILL                         PL,34.0592,-118.2414,34.0592,-118.2414
191514185,7/11/19,7/11/19,1700,15,N Hollywood,1566,997,TRAFFIC COLLISION,Veh vs Bike,53,F,White,101,STREET,MOORPARK                     ST,ENSIGN                       AV,34.1504,-118.3712,34.1504,-118.3712
190713693,7/16/19,7/16/19,715,7,Wilshire,721,997,TRAFFIC COLLISION,Veh vs Bike,38,M,Hispanic/Latin/Mexican,101,STREET,LA CIENEGA                   BL,BEVERLY                      BL,34.0761,-118.3766,34.0761,-118.3766
191218070,7/11/19,7/11/19,1110,12,77th Street,1256,997,TRAFFIC COLLISION,Veh vs Bike,39,M,Black,101,STREET,74TH                         ST,VERMONT                      AV,33.9727,-118.2916,33.9727,-118.2916
201808992,4/1/20,3/31/20,1650,18,Southeast,1842,997,TRAFFIC COLLISION,Veh vs Bike,48,F,Hispanic/Latin/Mexican,,,0,,33.9365,-118.2762,33.9365,-118.2762
190320123,9/6/19,9/5/19,1810,3,Southwest,328,997,TRAFFIC COLLISION,Veh vs Bike,20,F,White,101,STREET,32ND                         ST,UNIVERSITY                   AV,34.0252,-118.2827,34.0252,-118.2827
192115236,9/5/19,9/4/19,1745,21,Topanga,2189,997,TRAFFIC COLLISION,Veh vs Bike,69,M,White,104,DRIVEWAY,VENTURA                      BL,WINNETKA                     AV,34.1695,-118.5749,34.1695,-118.5749
201608002,4/11/20,4/11/20,1900,16,Foothill,1612,997,TRAFFIC COLLISION,Veh vs Bike,64,M,Hispanic/Latin/Mexican,101,STREET,BRADLEY                      AV,VAN NUYS                     BL,34.2697,-118.4191,34.2697,-118.4191
191014576,9/6/19,9/6/17,500,10,West Valley,1044,997,TRAFFIC COLLISION,Veh vs Bike,38,M,Hispanic/Latin/Mexican,101,STREET,RESEDA                       BL,BURBANK                      BL,34.1765,-118.5333,34.1765,-118.5333
191714746,8/22/19,8/22/19,1140,17,Devonshire,1764,997,TRAFFIC COLLISION,Veh vs Bike,59,F,Hispanic/Latin/Mexican,101,STREET,PLUMMER,CORBIN,34.2428,-118.5623,34.2428,-118.5623
192110680,5/28/19,5/28/19,1700,21,Topanga,2126,997,TRAFFIC COLLISION,Veh vs Bike,28,F,Hispanic/Latin/Mexican,101,STREET,DEERING                      AV,SATICOY                      ST,34.2083,-118.5951,34.2083,-118.5951
200808215,4/12/20,4/12/20,1015,8,West LA,853,997,TRAFFIC COLLISION,Veh vs Bike,19,,,,,0,,34.0468,-118.4473,34.0468,-118.4473
201809147,4/5/20,4/3/20,30,18,Southeast,1864,997,TRAFFIC COLLISION,Veh vs Bike,66,M,Black,,,0,,33.9295,-118.2543,33.9295,-118.2543
190217630,8/31/19,8/31/19,1700,2,Rampart,289,997,TRAFFIC COLLISION,Veh vs Bike,76,M,White,101,STREET,UNION                        AV,11TH                         ST,34.047,-118.2755,34.047,-118.2755
190319907,9/1/19,9/1/19,2320,3,Southwest,331,997,TRAFFIC COLLISION,Veh vs Bike,33,M,Hispanic/Latin/Mexican,101,STREET,W  JEFFERSON                    BL,S  LA BREA                      AV,34.0255,-118.3548,34.0255,-118.3548
191818736,8/31/19,8/31/19,1430,18,Southeast,1835,997,TRAFFIC COLLISION,Veh vs Bike,48,M,Black,101,STREET,CENTRAL                      AV,104TH                        ST,33.9419,-118.2541,33.9419,-118.2541
191419433,9/3/19,9/3/19,1020,14,Pacific,1477,997,TRAFFIC COLLISION,Veh vs Bike,72,M,White,101,STREET,MANCHESTER                   AV,WILEY POST,33.9599,-118.3872,33.9599,-118.3872
191714756,8/28/19,8/28/19,730,17,Devonshire,1798,997,TRAFFIC COLLISION,Veh vs Bike,38,F,White,101,STREET,NORDHOFF,HASKELL,34.2356,-118.4763,34.2356,-118.4763
190218035,9/8/19,9/8/19,1620,2,Rampart,236,997,TRAFFIC COLLISION,Veh vs Bike,48,M,Hispanic/Latin/Mexican,101,STREET,S  ALVARADO                     ST,W  3RD                          ST,34.063,-118.2727,34.063,-118.2727
190622608,11/20/19,11/20/19,835,6,Hollywood,626,997,TRAFFIC COLLISION,Veh vs Bike,37,M,White,101,STREET,FRANKLIN                     AV,CAHUENGA                     BL,34.1053,-118.3304,34.1053,-118.3304
191017821,11/17/19,11/17/19,1645,10,West Valley,1035,997,TRAFFIC COLLISION,Veh vs Bike,50,M,Hispanic/Latin/Mexican,101,STREET,LINDLEY                      AV,VANOWEN                      ST,34.1939,-118.5273,34.1939,-118.5273
191227051,11/16/19,11/16/19,1610,12,77th Street,1218,997,TRAFFIC COLLISION,Veh vs Bike,59,M,Black,101,STREET,58TH                         ST,VERMONT                      AV,33.9897,-118.2915,33.9897,-118.2915
191520975,11/22/19,11/22/19,1530,15,N Hollywood,1551,997,TRAFFIC COLLISION,Veh vs Bike,45,M,Hispanic/Latin/Mexican,101,STREET,RIVERSIDE                    DR,BELLINGHAM                   AV,34.1576,-118.3987,34.1576,-118.3987
201309332,4/13/20,4/13/20,704,13,Newton,1375,997,TRAFFIC COLLISION,Veh vs Bike,61,F,Black,101,STREET,CENTRAL                      AV,55TH                         ST,33.9925,-118.2564,33.9925,-118.2564
140612112,5/22/14,5/22/14,730,6,Hollywood,669,997,TRAFFIC COLLISION,Veh vs Bike,35,F,Pacific Islander,101,STREET,HOBART                       BL,SANTA MONICA                 BL,34.0908,-118.3046,34.0908,-118.3046
180917950,9/22/18,9/22/18,1805,9,Van Nuys,941,997,TRAFFIC COLLISION,Veh vs Bike,50,M,Black,101,STREET,OXNARD                       ST,LEMONA                       AV,34.1794,-118.4596,34.1794,-118.4596
190716205,9/7/19,9/6/19,800,7,Wilshire,765,997,TRAFFIC COLLISION,Veh vs Bike,40,M,White,101,STREET,VENICE                       BL,BURNSIDE                     AV,34.0496,-118.3425,34.0496,-118.3425
191916628,9/17/19,9/17/19,920,19,Mission,1902,997,TRAFFIC COLLISION,Veh vs Bike,65,M,Hispanic/Latin/Mexican,101,STREET,FOOTHILL                     BL,BROMONT                      AV,34.3232,-118.4535,34.3232,-118.4535
191012217,7/14/19,7/14/19,920,10,West Valley,1012,997,TRAFFIC COLLISION,Veh vs Bike,41,M,White,101,STREET,RESEDA                       BL,VALERIO                      ST,34.2048,-118.5361,34.2048,-118.5361
191416274,7/17/19,7/17/19,1530,14,Pacific,1444,997,TRAFFIC COLLISION,Veh vs Bike,37,M,White,101,STREET,WASHINGTON                   BL,MARR                         ST,33.9879,-118.4527,33.9879,-118.4527
190123478,9/20/19,9/18/19,1600,1,Central,124,997,TRAFFIC COLLISION,Veh vs Bike,28,M,Black,101,STREET,2ND,LOS ANGELES,34.0503,-118.2433,34.0503,-118.2433
181918260,9/29/18,9/29/18,1330,19,Mission,1902,997,TRAFFIC COLLISION,Veh vs Bike,23,M,Hispanic/Latin/Mexican,101,STREET,FOOTHILL                     BL,HUBBARD                      ST,34.3196,-118.4561,34.3196,-118.4561
192013841,7/17/19,7/17/19,1800,20,Olympic,2039,997,TRAFFIC COLLISION,Veh vs Bike,37,M,Black,101,STREET,WILSHIRE                     BL,VERMONT                      AV,34.0598,-118.2865,34.0598,-118.2865
190319906,9/1/19,9/1/19,1730,3,Southwest,363,997,TRAFFIC COLLISION,Veh vs Bike,32,F,Black,101,STREET,SANTA ROSALIA                DR,MARLTON                      AV,34.0105,-118.3398,34.0105,-118.3398
200808272,4/14/20,4/14/20,1300,8,West LA,849,997,TRAFFIC COLLISION,Veh vs Bike,45,F,Black,,,0,,34.0542,-118.3805,34.0542,-118.3805
192113348,7/26/19,7/26/19,715,21,Topanga,2156,997,TRAFFIC COLLISION,Veh vs Bike,45,M,White,101,STREET,VICTORY                      BL,CANOGA                       AV,34.1884,-118.5975,34.1884,-118.5975
191416541,7/21/19,7/20/19,1700,14,Pacific,1437,997,TRAFFIC COLLISION,Veh vs Bike,29,M,White,101,STREET,SEPULVEDA                    BL,VENICE                       BL,34.013,-118.4173,34.013,-118.4173
191416720,7/24/19,7/24/19,810,14,Pacific,1428,997,TRAFFIC COLLISION,Veh vs Bike,53,F,White,101,STREET,NATIONAL                     PL,OVERLAND                     AV,34.0308,-118.4163,34.0308,-118.4163
190320157,9/6/19,9/5/19,1140,3,Southwest,329,997,TRAFFIC COLLISION,Veh vs Bike,39,M,Hispanic/Latin/Mexican,101,STREET,FLOWER                       ST,27TH                         ST,34.0268,-118.2753,34.0268,-118.2753
190320403,9/6/19,9/6/19,2100,3,Southwest,396,997,TRAFFIC COLLISION,Veh vs Bike,16,M,Hispanic/Latin/Mexican,101,STREET,MENLO                        AV,VERNON                       AV,34.0037,-118.29,34.0037,-118.29
190320653,9/11/19,9/11/19,1615,3,Southwest,328,997,TRAFFIC COLLISION,Veh vs Bike,21,F,White,101,STREET,28TH                         ST,W  FIGUEROA                     ST,34.0261,-118.2773,34.0261,-118.2773
190320661,9/13/19,9/13/19,1930,3,Southwest,337,997,TRAFFIC COLLISION,Veh vs Bike,45,F,Hispanic/Latin/Mexican,101,STREET,1400 W  JEFFERSON                    BL,,34.0273,-118.3024,34.0273,-118.3024
190813066,7/19/19,7/19/19,1740,8,West LA,853,997,TRAFFIC COLLISION,Veh vs Bike,23,F,Hispanic/Latin/Mexican,101,STREET,OHIO                         AV,WESTWOOD                     BL,34.0445,-118.4491,34.0445,-118.4491
190317390,7/23/19,7/23/19,1930,3,Southwest,373,997,TRAFFIC COLLISION,Veh vs Bike,69,F,Black,101,STREET,DEGNAN                       BL,39TH                         ST,34.0146,-118.3311,34.0146,-118.3311
192020347,11/21/19,11/20/19,830,20,Olympic,2088,997,TRAFFIC COLLISION,Veh vs Bike,56,M,Other Asian,105,PEDESTRIAN OVERCROSSING,MENLO                        AV,VENICE                       BL,34.0443,-118.2904,34.0443,-118.2904
190515577,9/17/19,9/17/19,1720,5,Harbor,529,997,TRAFFIC COLLISION,Veh vs Bike,57,M,Hispanic/Latin/Mexican,101,STREET,ANAHEIM                      ST,QUAY                         AV,33.7802,-118.2585,33.7802,-118.2585
192013932,7/19/19,7/19/19,1520,20,Olympic,2035,997,TRAFFIC COLLISION,Veh vs Bike,16,M,Hispanic/Latin/Mexican,101,STREET,MARIPOSA                     AV,WILSHIRE                     BL,34.0618,-118.2987,34.0618,-118.2987
190615814,7/8/19,7/7/19,1530,6,Hollywood,644,997,TRAFFIC COLLISION,Veh vs Bike,56,M,White,101,STREET,SUNSET                       BL,LA BREA                      AV,34.098,-118.3441,34.098,-118.3441
190815500,9/12/19,9/12/19,1335,8,West LA,835,997,TRAFFIC COLLISION,Veh vs Bike,27,M,Black,101,STREET,WESTWOOD                     BL,MISSOURI                     AV,34.0482,-118.4354,34.0482,-118.4354
191113594,7/15/19,7/15/19,930,11,Northeast,1101,997,TRAFFIC COLLISION,Veh vs Bike,24,F,Hispanic/Latin/Mexican,101,STREET,ALEXANDRIA,SANTA MONICA,34.1374,-118.2941,34.1374,-118.2941
190119041,7/23/19,7/23/19,1215,1,Central,143,997,TRAFFIC COLLISION,Veh vs Bike,59,M,White,101,STREET,MAIN                         ST,WINSTON                      ST,34.0488,-118.25,34.0488,-118.25
191116916,9/20/19,9/20/19,1222,11,Northeast,1118,997,TRAFFIC COLLISION,Veh vs Bike,49,M,Hispanic/Latin/Mexican,101,STREET,FIGUEROA,AVENUE 56,34.109,-118.194,34.109,-118.194
181415675,7/8/18,7/7/18,2153,14,Pacific,1424,997,TRAFFIC COLLISION,Veh vs Bike,34,M,Other,101,STREET,CULVER                       BL,INGLEWOOD                    BL,34.0167,-118.4382,34.0167,-118.4382
191222869,9/15/19,9/15/19,2045,12,77th Street,1203,997,TRAFFIC COLLISION,Veh vs Bike,47,M,Black,101,STREET,49TH,WESTERN,33.9992,-118.3089,33.9992,-118.3089
191315304,7/21/19,7/21/19,745,13,Newton,1393,997,TRAFFIC COLLISION,Veh vs Bike,48,M,Hispanic/Latin/Mexican,101,STREET,GAGE                         AV,BROADWAY,33.9824,-118.2783,33.9824,-118.2783
191314397,7/3/19,7/3/19,1330,13,Newton,1303,997,TRAFFIC COLLISION,Veh vs Bike,,M,Hispanic/Latin/Mexican,101,STREET,12TH                         ST,CROCKER                      ST,34.0329,-118.2517,34.0329,-118.2517
